timestamp2001_ms+[TREMOR12_samples_2020_07_01_0727.csv]TREMOR12_samples_2020_07_01_072!$A$1:$A$41,roll,pitch,yaw,rotX,rotY,rotZ,accX,accY,accZ,gravX,gravY,gravZ
4.55616E+11,-0.268757911,0.01642775,0.123094821,0.020963661,-0.064637236,-0.04564184,-0.030481398,-0.055560533,0.006962121,-0.26352495,-0.122784197,-0.956806481
4.55616E+11,-0.269730585,0.016055764,0.12371377,0.061535299,-0.110241435,-0.054150637,-0.030486692,-0.048095096,0.001352371,-0.264435172,-0.123398438,-0.956476271
4.55616E+11,-0.271110167,0.015760443,0.124805385,0.108517669,-0.155815512,-0.057342701,-0.024381861,-0.040938899,0.001512426,-0.265718251,-0.124481633,-0.955980182
4.55616E+11,-0.273008055,0.015626416,0.126264609,0.144899592,-0.200314447,-0.049840044,-0.023517527,-0.043168526,-0.00742454,-0.267482847,-0.125929371,-0.955298245
4.55616E+11,-0.278763571,0.016071177,0.132999839,0.154541567,-0.208791837,-0.046643507,-0.026945582,-0.039419506,-0.000295419,-0.272737026,-0.132608086,-0.952905893
4.55616E+11,-0.280826715,0.015949581,0.13456017,0.142779633,-0.20885326,-0.058346767,-0.035123922,-0.047959179,0.020103831,-0.274644762,-0.134154469,-0.952141166
4.55616E+11,-0.283082637,0.015678176,0.136053967,0.134316593,-0.237573504,-0.068905666,-0.025479849,-0.052353669,0.025971698,-0.276735723,-0.135634616,-0.951325715
4.55616E+11,-0.288556545,0.015869291,0.142325184,0.125968054,-0.258806229,-0.056023043,-0.017167212,-0.038452681,0.023547493,-0.281691432,-0.141845167,-0.94896251
4.55616E+11,-0.292494048,0.016019262,0.146051803,0.097256802,-0.232258856,-0.033624206,-0.008246686,-0.02213046,0.017966218,-0.285271376,-0.145533115,-0.947333276
4.55616E+11,-0.295286389,0.016168263,0.148908502,0.075986557,-0.208889276,-0.015504071,-0.002245682,-0.019411584,0.011896786,-0.287793368,-0.148358807,-0.946131408
4.55616E+11,-0.297534629,0.016202573,0.151258581,0.108985126,-0.22799474,-0.033678286,0.002631099,-0.013837801,0.005570844,-0.289816767,-0.150682464,-0.945146024
4.55616E+11,-0.300231168,0.016349992,0.156692495,0.159323767,-0.293704569,-0.027231321,0.001605783,-0.049834758,-0.003487007,-0.292117864,-0.156052083,-0.943565011
4.55616E+11,-0.304507125,0.016454574,0.158740767,0.184800714,-0.337364227,-0.077311493,-0.004468478,0.002938824,0.024611464,-0.29605338,-0.15807493,-0.942000389
4.55616E+11,-0.308098377,0.016023606,0.160791727,0.13217102,-0.23882769,-0.106269881,0.001514428,0.002690103,0.041999582,-0.29933548,-0.160099775,-0.940620184
4.55616E+11,-0.310325692,0.015709721,0.163453739,0.017158987,-0.132684693,-0.042269703,0.002973989,-0.021996025,0.046460316,-0.301298559,-0.162726879,-0.939541996
4.55616E+11,-0.310378935,0.015838318,0.164109539,-0.148560017,-0.036983166,0.099779516,0.020172751,-0.023592044,0.033860765,-0.301315933,-0.163373902,-0.939424098
4.55616E+11,-0.312085586,0.018008489,0.16179798,-0.194205359,-0.079879969,0.329414815,0.000314798,-0.001916681,0.032008328,-0.303033918,-0.161092967,-0.93926543
4.55616E+11,-0.313372813,0.021457899,0.160300771,-0.175487414,-0.106025688,0.4393197,0.012568674,-0.026374251,0.020157633,-0.304316729,-0.159615129,-0.939102948
